8395,496,Green St,496 Green St,POINT (-71.10868878736375 42.36712392536699)
8397,498,Green St,498 Green St,POINT (-71.10865525918702 42.36727520343647)
8579,501,Green St,501 Green St,POINT (-71.1086359996108 42.36746630558716)
8583,502,Green St,502 Green St,POINT (-71.10877124008564 42.367339282434195)
8590,505,Green St,505 Green St,POINT (-71.10871648493757 42.36750714270654)
8591,508,Green St,508 Green St,POINT (-71.10890486841146 42.367410857683154)
8594,509,Green St,509 Green St,POINT (-71.10880077242805 42.367551765799824)
8614,50,Hancock St,50 Hancock St,POINT (-71.10911250565023 42.36793484042085)
8657,515,Green St,515 Green St,POINT (-71.10894111858518 42.36763276733822)
8718,521,Green St,521 Green St,POINT (-71.10914895256404 42.367750214759376)
8719,516,Green St,516 Green St,POINT (-71.1090964540006 42.367510420691715)
8725,527,Green St,527 Green St,POINT (-71.1092967609382 42.367808655736006)
8955,56,Hancock St,56 Hancock St,POINT (-71.10899259473477 42.36810209223835)
9080,54,Kinnaird St,54 Kinnaird St,POINT (-71.10952068117992 42.3664305359025)
9209,5,Jay St,5 Jay St,POINT (-71.10985427690737 42.36389173338577)
9304,56-1/2,Howard St,56-1/2 Howard St,POINT (-71.11065922863703 42.36595521446573)
6964,34,William St,34 William St,POINT (-71.10687800300452 42.36361063512498)
7508,39,Magazine St,39 Magazine St,POINT (-71.10698554101484 42.3630038931057)
5589,260,Harvard St,260 Harvard St,POINT (-71.10221800214052 42.36834175597932)
5644,269,Harvard St,269 Harvard St,POINT (-71.10280553343797 42.36880778665945)
6242,2,St Paul St,2 St Paul St,POINT (-71.10267009740961 42.36740019829818)
6607,326,Broadway,326 Broadway,POINT (-71.10172266989862 42.36944232182077)
6711,330,Broadway,330 Broadway,POINT (-71.10217116441247 42.369560736400736)
7628,3,St Paul St,3 St Paul St,POINT (-71.1029136979023 42.36763046043512)
8457,4,Austin Pk,4 Austin Pk,POINT (-71.1042210548216 42.36728994595674)
9240,5,St Paul St,5 St Paul St,POINT (-71.10304455304129 42.36767946365348)
9668,675,Massachusetts Ave,675 Massachusetts Ave,POINT (-71.10408207238503 42.36581271759097)
9793,6,Austin Pk,6 Austin Pk,POINT (-71.10403599558565 42.36746210551903)
9896,6,St Paul St,6 St Paul St,POINT (-71.10303323508305 42.36754162584713)
7474,39,Amory St,39 Amory St,POINT (-71.10152499122151 42.370541289785606)
8307,48,Amory St,48 Amory St,POINT (-71.10098619319949 42.37055100782012)
8549,4,St Mary Rd,4 St Mary Rd,POINT (-71.10051035742036 42.37075603668517)
9864,6,King Pl,6 King Pl,POINT (-71.10179018126874 42.370851847970556)
5126,23,Lee St,23 Lee St,POINT (-71.10679968328513 42.36899104066912)
5281,24,Fayette St,24 Fayette St,POINT (-71.1033226179049 42.37223908307911)
5317,24,Maple Ave,24 Maple Ave,POINT (-71.10443080156674 42.372557432862514)
5472,25,Bigelow St,25 Bigelow St,POINT (-71.10502511404562 42.36848176657959)
5485,25,Clinton St,25 Clinton St,POINT (-71.10567848078762 42.368951565573205)
5498,25,Fainwood Cir,25 Fainwood Cir,POINT (-71.10367837307656 42.37289716207314)
5528,25,Inman St,25 Inman St,POINT (-71.10452023018507 42.367930663592176)
5603,262,Hampshire St,262 Hampshire St,POINT (-71.10204961697747 42.3743126735089)
5656,26-R,Antrim St,26-R Antrim St,POINT (-71.10297140878852 42.370934580992675)
5672,26,Clinton St,26 Clinton St,POINT (-71.10526241559636 42.36907925931928)
5715,26,Maple Ave,26 Maple Ave,POINT (-71.10427305902134 42.3727525259238)
5827,27,Clinton St,27 Clinton St,POINT (-71.1055273139516 42.36910974787741)
5843,27,Fainwood Cir,27 Fainwood Cir,POINT (-71.10381802919133 42.372942834770384)
5862,27,Inman St,27 Inman St,POINT (-71.10443207202754 42.368048575242895)
5929,284,Harvard St,284 Harvard St,POINT (-71.10449368815651 42.36915836104494)
5974,28,Fayette St,28 Fayette St,POINT (-71.1030786062572 42.37238855302806)
6000,28,Lee St,28 Lee St,POINT (-71.10658664107662 42.36881758963542)
6005,28,Maple Ave,28 Maple Ave,POINT (-71.10399033101046 42.37274022465903)
6086,29,Bigelow St,29 Bigelow St,POINT (-71.10492322858516 42.36861347335313)
6108,29,Fayette St,29 Fayette St,POINT (-71.10341983617344 42.372539095413266)
6192,2,Fayette Pk,2 Fayette Pk,POINT (-71.10468507126052 42.37136679981572)
6207,2,Hancock Pl,2 Hancock Pl,POINT (-71.1068776218559 42.36963864686034)
6216,2,Inman Pl,2 Inman Pl,POINT (-71.10371497015646 42.36980585932385)
6288,304,Harvard St,304 Harvard St,POINT (-71.10621613784683 42.36974017277715)
6328,30,Antrim St,30 Antrim St,POINT (-71.10311072602067 42.371095980649116)
6349,28,Clinton St,28 Clinton St,POINT (-71.10523588317086 42.36910433666045)
6384,30,Lee St,30 Lee St,POINT (-71.10639951332931 42.369000949918764)
6428,310,Harvard St,310 Harvard St,POINT (-71.10658043508674 42.369842846447284)
6447,314,Harvard St,314 Harvard St,POINT (-71.10681738562315 42.36991876027661)
6503,31,Fayette St,31 Fayette St,POINT (-71.10340381354402 42.37262305210843)
6623,32,Antrim St,32 Antrim St,POINT (-71.10296248392741 42.37102488486275)
6667,32,Lee St,32 Lee St,POINT (-71.1062955318024 42.369092894083295)
6797,33,Inman St,33 Inman St,POINT (-71.10429477718576 42.36824986256002)
7271,37,Antrim St,37 Antrim St,POINT (-71.10318739402763 42.371351039517435)
7275,37,Bigelow St,37 Bigelow St,POINT (-71.1048796796361 42.36897032322897)
7276,35,Bigelow St,35 Bigelow St,POINT (-71.10469325714612 42.36885756917064)
7553,3,Clinton St,3 Clinton St,POINT (-71.10668193041931 42.36787730015734)
7580,3,Hancock Pk,3 Hancock Pk,POINT (-71.10597025254599 42.3704265207087)
7728,40,Lee St,40 Lee St,POINT (-71.10603491389234 42.36938890886875)
7803,41,Lee St,41 Lee St,POINT (-71.105676958671 42.37013046408764)
7877,42,Antrim St,42 Antrim St,POINT (-71.1029469435369 42.371323249836735)
7907,42,Maple Ave,42 Maple Ave,POINT (-71.10395197534723 42.37321341851798)
7959,43,Fayette St,43 Fayette St,POINT (-71.10312088433653 42.372848024533084)
7976,43,Lee St,43 Lee St,POINT (-71.10558383606805 42.37022272210806)
8095,45,Fayette St,45 Fayette St,POINT (-71.10303800940483 42.372928764256145)
8109,45,Lee St,45 Lee St,POINT (-71.10549408103738 42.370318886238195)
8308,48,Antrim St,48 Antrim St,POINT (-71.10284428562434 42.371424769970574)
8358,48,Maple Ave,48 Maple Ave,POINT (-71.10388640408607 42.373297637700645)
8490,4,Fayette Pk,4 Fayette Pk,POINT (-71.10479446388717 42.371439474042894)
8502,4,Hancock Pk,4 Hancock Pk,POINT (-71.10590989885988 42.370578967299124)
8748,52,Maple Ave,52 Maple Ave,POINT (-71.10380080728288 42.37339680733311)
8791,51,Fayette St,51 Fayette St,POINT (-71.10284919925995 42.3731473392293)
8882,55,Antrim St,55 Antrim St,POINT (-71.10289467277583 42.37173982514003)
8963,56,Maple Ave,56 Maple Ave,POINT (-71.10372884203295 42.3734918465364)
9179,5,Fainwood Cir,5 Fainwood Cir,POINT (-71.10310983625422 42.37324686594171)
9181,5,Fayette St,5 Fayette St,POINT (-71.10446724153418 42.37124797314299)
9197,5,Hancock Pl,5 Hancock Pl,POINT (-71.10699964930375 42.36959463203798)
9312,60,Maple Ave,60 Maple Ave,POINT (-71.10364412653252 42.373605881894115)
9350,61,Antrim St,61 Antrim St,POINT (-71.10280725160868 42.37185118573807)
9415,62,Antrim St,62 Antrim St,POINT (-71.10261843695434 42.371716266818396)
9475,63,Inman St,63 Inman St,POINT (-71.10276875244553 42.37048854593678)
9565,65,Antrim St,65 Antrim St,POINT (-71.1027716032048 42.37193608381242)
9646,66,Maple Ave,66 Maple Ave,POINT (-71.10352311048598 42.37374667639555)
9673,67,Antrim St,67 Antrim St,POINT (-71.10267833869962 42.37205659443945)
11582,24,Oak St,24 Oak St,POINT (-71.0995566726237 42.37431667053168)
11588,1309,Cambridge St,1309 Cambridge St,POINT (-71.09950705947823 42.37364929905293)
11593,1297,Cambridge St,1297 Cambridge St,POINT (-71.09920126816343 42.3736173668383)
11626,22,Clary St,22 Clary St,POINT (-71.098604017596 42.374075337398466)
11572,14,Springfield St,14 Springfield St,POINT (-71.10053231171764 42.374165341436125)
10071,744,Massachusetts Ave,744 Massachusetts Ave,POINT (-71.10521138548626 42.36609564952209)
10648,872,Massachusetts Ave,872 Massachusetts Ave,POINT (-71.10758604776508 42.36762055390636)
10687,888,Massachusetts Ave,888 Massachusetts Ave,POINT (-71.10807941397958 42.3678594866498)
10719,898,Massachusetts Ave,898 Massachusetts Ave,POINT (-71.1084188436285 42.36802051100665)
10951,910,Massachusetts Ave,910 Massachusetts Ave,POINT (-71.10878329406783 42.36827345403288)
11428,10,Soden St,10 Soden St,POINT (-71.10836529606387 42.36554096434002)
11429,9,Soden St,9 Soden St,POINT (-71.10809342979587 42.36559899989483)
13504,380,Green St,380 Green St,POINT (-71.10580998760868 42.36563437814353)
13530,486,Green St,486 Green St,POINT (-71.10834877942177 42.36710401877148)
13531,461,Franklin St,461 Franklin St,POINT (-71.10974818428886 42.367262289373855)
13532,28,Hancock St,28 Hancock St,POINT (-71.10967203546483 42.36748247056159)
13533,315,Franklin St,315 Franklin St,POINT (-71.10683252722374 42.36562492740086)
13534,17,Pleasant St,17 Pleasant St,POINT (-71.10656266537218 42.365577852321)
13608,844,Massachusetts Ave,844 Massachusetts Ave,POINT (-71.10707876717649 42.36733065129566)
13609,846,Massachusetts Ave,846 Massachusetts Ave,POINT (-71.10714329592567 42.36736900964021)
13610,848,Massachusetts Ave,848 Massachusetts Ave,POINT (-71.10720343935066 42.36729089373551)
13611,850,Massachusetts Ave,850 Massachusetts Ave,POINT (-71.10741850608058 42.36710141728583)
13612,852,Massachusetts Ave,852 Massachusetts Ave,POINT (-71.10752778604106 42.36712327915364)
13613,854,Massachusetts Ave,854 Massachusetts Ave,POINT (-71.1075897039799 42.36721027711301)
13614,856,Massachusetts Ave,856 Massachusetts Ave,POINT (-71.10737005267481 42.36740100313046)
13615,858,Massachusetts Ave,858 Massachusetts Ave,POINT (-71.10727422959039 42.3674523380253)
