3814,18,Inman St,18 Inman St,-71.10445683598181000000,42.3676137788842000000
3856,18,St Paul St,18 St Paul St,-71.10339595088556000000,42.3680427638146000000
4485,20,St Paul St,20 St Paul St,-71.10332384206617000000,42.36814143682198000000
850,8,Amory St,8 Amory St,-71.10173446351544000000,42.369939588869855000000
857,2,St Mary Rd,2 St Mary Rd,-71.10035114031369000000,42.37067333252447000000
1017,103,Amory St,103 Amory St,-71.10063457225345000000,42.37178606820411000000
1146,108-A,Inman St,108-A Inman St,-71.10096033209042000000,42.372259945031615000000
1290,10,St Mary Rd,10 St Mary Rd,-71.10060318732761000000,42.37079006664905000000
1374,112,Inman St,112 Inman St,-71.10096154621519000000,42.37249645426852000000
1472,116,Amory St,116 Amory St,-71.10025170359935000000,42.37195419009103000000
1525,118,Inman St,118 Inman St,-71.10066542171072000000,42.37276319317691000000
1541,119,Amory St,119 Amory St,-71.10041112283710000000,42.3720945592550460000000
1849,126,Inman St,126 Inman St,-71.10049988356677000000,42.37298357726459000000
1866,127,Amory St,127 Amory St,-71.10037547942892000000,42.37220080958639000000
2122,131,Amory St,131 Amory St,-71.10027525475607000000,42.3722860650173000000
2166,135,Amory St,135 Amory St,-71.10022653821868000000,42.372334512945706000000
2643,14,St Mary Rd,14 St Mary Rd,-71.10073443288012000000,42.370839523942536000000
3433,175,Prospect St,175 Prospect St,-71.10103263871028000000,42.369790395709195000000
3492,177,Prospect St,177 Prospect St,-71.10112362484557000000,42.36996856277522000000
830,295,Harvard St,295 Harvard St,-71.10527573632456000000,42.36977516127639000000
831,12,Maple Ave,12 Maple Ave,-71.10491012691342000000,42.37198535527263000000
846,344,Broadway,344 Broadway,-71.10338235298410000000,42.370081573365490000000
854,1418,Cambridge St,1418 Cambridge St,-71.10177070637148000000,42.373626737098306000000
855,240,Hampshire St,240 Hampshire St,-71.10156690631847000000,42.37417226866438000000
961,101,Antrim St,101 Antrim St,-71.10218205557766000000,42.37269809988407000000
969,101,Inman St,101 Inman St,-71.10172396668271000000,42.37200932678128000000
996,106,Hancock St,106 Hancock St,-71.10772918498566000000,42.36908965632687000000
1028,103,Inman St,103 Inman St,-71.10161556584961000000,42.372181682908064000000
1117,107,Inman St,107 Inman St,-71.10154475617611000000,42.37234141119896000000
1168,107-1/2,Inman St,107-1/2 Inman St,-71.10155767499371000000,42.372417293302554000000
1169,109,Inman St,109 Inman St,-71.10142091496240000000,42.372459280583470000000
1190,10,Arnold Cir,10 Arnold Cir,-71.10795570533772000000,42.36863726606422000000
1213,10,Clinton St,10 Clinton St,-71.10609954625588000000,42.36820121084839000000
1229,10,Fayette St,10 Fayette St,-71.10405175097640000000,42.371425360247110000000
1326,110,Hancock St,110 Hancock St,-71.10758511526588000000,42.36918391010605000000
1406,113,Inman St,113 Inman St,-71.10122505326230000000,42.372747823893090000000
1478,116,Hancock St,116 Hancock St,-71.10748414215415000000,42.369359830764000000
1506,117,Inman St,117 Inman St,-71.10114441445440000000,42.372867144545810000000
1518,118,Antrim St,118 Antrim St,-71.10173036537253000000,42.37292495012959000000
1542,119,Antrim St,119 Antrim St,-71.10187564325145000000,42.37308166785047000000
1551,121,Inman St,121 Inman St,-71.10105569302375000000,42.37299603865318000000
1769,122,Hancock St,122 Hancock St,-71.10735379069821000000,42.36947676244895000000
